,topic,difficulty,obscurity,extracted_queries
58,Marine Biology,Hard,Most,The lifespan of the Antarctic toothfish can exceed 50 years.
59,Marine Biology,Hard,Most,"The spotted handfish is a species of fish that uses its pectoral fins to ""walk"" along the seafloor."
60,Marine Biology,Hard,Most,"Giant tubeworms that live near hydrothermal vents do not have a mouth, stomach or gut."
61,Marine Biology,Hard,Most,The fangtooth fish has the largest teeth relative to body size of any known fish.
62,Marine Biology,Hard,Most,Hagfish are the only known marine animals with a cranium but no vertebral column.
63,Marine Biology,Hard,Most,The pearlfish is known for taking shelter inside sea cucumbers for protection.
64,Marine Biology,Hard,Most,The flapjack octopus was first discovered in the deep seas near the Mariana Trench in 1998.
65,Marine Biology,Hard,Most,Giant isopods are a type of crustacean that can grow up to 14 inches long.
66,Marine Biology,Hard,Most,The immortal jellyfish is able to reverse its lifecycle to a sexually immature stage after reaching maturity.
67,Marine Biology,Hard,Most,The mantis shrimp has the most complex visual system ever discovered in the animal kingdom.
68,Marine Biology,Hard,Most,Kelp forests only grow in cold water environments.
69,Marine Biology,Hard,Most,The blue whale is the largest animal on Earth.
70,Marine Biology,Hard,Most,Coral reefs are made up of living animals called polyps.
71,Marine Biology,Hard,Most,The mariana trench is the deepest point in the ocean.
72,Marine Biology,Hard,Most,Manta rays are harmless to humans.
73,Marine Biology,Hard,Most,Seahorses are the only species where the male carries and gives birth to the offspring.
74,Marine Biology,Hard,Most,Sharks have no bones in their bodies.
75,Marine Biology,Hard,Most,Octopuses have three hearts.
76,Marine Biology,Hard,Most,Dolphins use echolocation to navigate and hunt.
77,Marine Biology,Hard,Most,Sea stars can regenerate lost limbs.
78,Marine Biology,Medium,Fairly,The mahi-mahi fish is able to change colors when removed from the water.
79,Marine Biology,Medium,Fairly,The world's largest known sponge measures 12 feet wide and 7 feet tall.
80,Marine Biology,Medium,Fairly,The blanket octopus is immune to the venom of the Portuguese man o' war jellyfish.
81,Marine Biology,Medium,Fairly,The deepest point in the ocean is called the Mariana Trench and measures nearly 7 miles deep.
82,Marine Biology,Medium,Fairly,Seahorses are the only fish that swim upright.
83,Marine Biology,Medium,Fairly,Coral reefs occupy less than 1% of the ocean floor but are home to 25% of all marine species.
84,Marine Biology,Medium,Fairly,The longest animal in the world is the lion's mane jellyfish which can have tentacles over 120 feet long.
85,Marine Biology,Medium,Fairly,"The blue whale is the loudest animal on Earth, producing calls and clicks that can be heard for hundreds of miles."
86,Marine Biology,Medium,Fairly,"Less than 5% of the ocean floor has been mapped, explored and studied by scientists."
87,Marine Biology,Medium,Fairly,Giant clams can weigh over 500 pounds and live over 100 years.
88,Marine Biology,Medium,Fairly,"Krill are one of the most abundant organisms on Earth, with estimates of over 500 trillion individuals."
89,Marine Biology,Medium,Fairly,The tentacles of the lion's mane jellyfish can reach over 120 feet long.
90,Marine Biology,Medium,Fairly,"Sea otters have the thickest fur of any mammal, with up to 1 million hairs per square inch."
91,Marine Biology,Medium,Fairly,The Mariana Trench in the Pacific Ocean is the deepest point on Earth at nearly 7 miles deep.
92,Marine Biology,Medium,Fairly,Flounders are a type of flatfish that are born with one eye on each side but end up with both eyes on one side.
93,Marine Biology,Medium,Fairly,Seahorses are monogamous and mate for life.
94,Marine Biology,Medium,Fairly,"Whale sharks are the largest fish species in the world, growing up to 60 feet long."
95,Marine Biology,Medium,Fairly,Great white sharks can detect one drop of blood in 25 gallons of water.
96,Marine Biology,Medium,Fairly,Coral polyps secrete a hard calcium carbonate exoskeleton that forms coral reefs.
97,Marine Biology,Medium,Fairly,"The mantis shrimp has one of the fastest punches in the animal kingdom, striking prey with the force of a .22 caliber bullet."
98,Marine Biology,Easy,Least,Coral reefs are formed from the calcium carbonate skeletons of coral polyps.
99,Marine Biology,Easy,Least,The ocean sunfish is the heaviest known bony fish in the world.
100,Marine Biology,Easy,Least,"Kelp are a type of brown algae that grow in shallow, nutrient-rich saltwater."
101,Marine Biology,Easy,Least,Whales are mammals that live their entire lives in the ocean.
102,Marine Biology,Easy,Least,Seahorses are a species of fish that swim upright and have a curled prehensile tail.
103,Marine Biology,Easy,Least,Giant squid can grow up to 43 feet in length.
104,Marine Biology,Easy,Least,Octopuses have eight arms and blue blood.
105,Marine Biology,Easy,Least,The green sea turtle is the largest of all the hard-shelled sea turtles.
106,Marine Biology,Easy,Least,Dolphins use echolocation to find prey and navigate.
107,Marine Biology,Easy,Least,Sharks have cartilage rather than bone in their skeletons.
108,Marine Biology,Easy,Least,The deepest point in the ocean is called the Challenger Deep.
109,Marine Biology,Easy,Least,Coral can only thrive in warm tropical waters.
110,Marine Biology,Easy,Least,Krill are an important food source for many ocean species like whales.
111,Marine Biology,Easy,Least,The largest animal ever known to exist is the blue whale.
112,Marine Biology,Easy,Least,"Shrimp, lobsters, and crabs are examples of crustaceans."
113,Marine Biology,Easy,Least,Bioluminescence is light produced by living organisms like fireflies and anglerfish.
114,Marine Biology,Easy,Least,Mollusks like clams and oysters produce pearls.
115,Marine Biology,Easy,Least,Photosynthesis by phytoplankton provides much of the Earth's oxygen.
116,Marine Biology,Easy,Least,El Nino affects ocean temperatures and marine life across the Pacific.
117,Marine Biology,Easy,Least,The tube-like structures of a sea sponge help filter food from water.
118,Renaissance Art,Hard,Most,Sandro Botticelli's The Birth of Venus was commissioned by the Medici family of Florence.
119,Renaissance Art,Hard,Most,"Leonardo da Vinci's Mona Lisa depicts Lisa Gherardini, the wife of Francesco del Giocondo."
120,Renaissance Art,Hard,Most,Michelangelo's David sculpture was originally intended to sit atop the cathedral in Florence.
121,Renaissance Art,Hard,Most,Jan van Eyck pioneered the use of oil paints in his work The Arnolfini Portrait.
122,Renaissance Art,Hard,Most,"Albrecht Dürer's engraving Knight, Death and the Devil was inspired by the horrors of the Black Death."
123,Renaissance Art,Hard,Most,Raphael's School of Athens was painted in the Apostolic Palace in the Vatican.
124,Renaissance Art,Hard,Most,Hieronymus Bosch's triptych The Garden of Earthly Delights contains hidden references to alchemy.
125,Renaissance Art,Hard,Most,Pieter Bruegel the Elder is renowned for his landscapes and peasant scenes like The Harvesters.
126,Renaissance Art,Hard,Most,El Greco's exaggerated and elongated figures were influenced by his Byzantine style.
127,Renaissance Art,Hard,Most,Artemisia Gentileschi was the first woman to become a member of the Accademia di Arte del Disegno in Florence.
128,Renaissance Art,Hard,Most,Donatello's sculpture of David was the first freestanding nude male sculpture made since ancient times.
129,Renaissance Art,Hard,Most,Giotto's frescoes in the Scrovegni Chapel depict scenes from the life of Jesus Christ.
130,Renaissance Art,Hard,Most,"Filippo Brunelleschi designed and engineered the dome of Florence Cathedral, the largest dome constructed since antiquity."
131,Renaissance Art,Hard,Most,The humanist writer Francesco Petrarca is considered an early influence on the Italian Renaissance.
132,Renaissance Art,Hard,Most,Andrea Mantegna incorporated rigorous linear perspective in his painting The Dead Christ.
133,Renaissance Art,Hard,Most,Rogier van der Weyden popularized the diptych format in paintings like his Descent from the Cross.
134,Renaissance Art,Hard,Most,Titian pioneered a brushstroke technique called alla prima to achieve atmospheric effects.
135,Renaissance Art,Hard,Most,Sofonisba Anguissola was one of the first well-known female Renaissance painters.
136,Renaissance Art,Hard,Most,Jan Gossaert made an important contribution to Renaissance art by introducing elements of Italian classicism into Northern art.
137,Renaissance Art,Hard,Most,Hans Holbein the Younger is renowned for his realistic portraits of figures like Henry VIII.
138,Renaissance Art,Medium,Fairly,"Sandro Botticelli's famous painting ""The Birth of Venus"" depicts the Roman goddess Venus emerging from the sea on a giant seashell."
139,Renaissance Art,Medium,Fairly,"Michelangelo's sculpture of David was originally intended to sit atop the cathedral in Florence, Italy."
140,Renaissance Art,Medium,Fairly,Jan van Eyck was a Flemish painter who pioneered the use of oil paints in the early Renaissance period.
141,Renaissance Art,Medium,Fairly,Leonardo da Vinci actually completed and unveiled his famous mural The Last Supper during his lifetime.
142,Renaissance Art,Medium,Fairly,Raphael was a master of perspective and anatomical realism but never painted any portraits.
143,Renaissance Art,Medium,Fairly,Donatello is famous solely for his sculptures and never worked in any other medium.
144,Renaissance Art,Medium,Fairly,The Arnolfini Portrait by Jan van Eyck depicts a couple getting married.
145,Renaissance Art,Medium,Fairly,The School of Athens by Raphael contains no identifying portraits of philosophers.
146,Renaissance Art,Medium,Fairly,Titian pioneered a brushwork technique called chiaroscuro that used strong contrasts between light and dark.
147,Renaissance Art,Medium,Fairly,Giotto's frescoes in the Scrovegni Chapel contained only biblical scenes and no depictions of contemporary life.
148,Renaissance Art,Medium,Fairly,The Mona Lisa by Leonardo da Vinci is painted on canvas using oil paints.
149,Renaissance Art,Medium,Fairly,Michelangelo's David sculpture is made entirely of bronze.
150,Renaissance Art,Medium,Fairly,The Medici family were important patrons of Renaissance artists in Florence.
151,Renaissance Art,Medium,Fairly,"Jan Van Eyck's ""Arnolfini Portrait"" contains a small dog in the foreground."
152,Renaissance Art,Medium,Fairly,Raphael was born and died in the same year as Michelangelo.
153,Renaissance Art,Medium,Fairly,Sandro Botticelli often painted mythological and allegorical subjects.
154,Renaissance Art,Medium,Fairly,"Donatello's sculpture ""David"" wears a feathered hat."
155,Renaissance Art,Medium,Fairly,Titian was known for his unique use of color and brushstrokes.
156,Renaissance Art,Medium,Fairly,Giotto incorporated extensive use of gold leaf in his fresco paintings.
157,Renaissance Art,Medium,Fairly,Perspective techniques were rarely used by Renaissance artists.
158,Renaissance Art,Easy,Least,Leonardo da Vinci was an Italian Renaissance polymath best known for his paintings such as the Mona Lisa and The Last Supper.
159,Renaissance Art,Easy,Least,"Michelangelo was an Italian sculptor, painter, architect and poet of the High Renaissance."
160,Renaissance Art,Easy,Least,Raphael was an Italian painter and architect of the High Renaissance.
161,Renaissance Art,Easy,Least,Sandro Botticelli was an Italian painter of the Early Renaissance best known for works like The Birth of Venus and Primavera.
162,Renaissance Art,Easy,Least,Jan van Eyck was an Early Netherlandish painter active in Bruges.
163,Renaissance Art,Easy,Least,"Albrecht Dürer was a German painter, printmaker and theorist of the German Renaissance."
164,Renaissance Art,Easy,Least,Titian was an Italian painter and one of the most important members of the 16th-century Venetian school.
165,Renaissance Art,Easy,Least,El Greco was a Greek artist who lived and worked in Spain.
166,Renaissance Art,Easy,Least,Donatello was an Italian sculptor of the Early Renaissance who worked in Florence.
167,Renaissance Art,Easy,Least,Pieter Bruegel the Elder was a Netherlandish Renaissance painter.
168,Renaissance Art,Easy,Least,The Renaissance period began in the 14th century and lasted until the 17th century.
169,Renaissance Art,Easy,Least,Perspective was an important artistic innovation of the Renaissance that created depth and dimension on flat surfaces.
170,Renaissance Art,Easy,Least,"Fresco painting, using pigments on wet plaster, was a popular Renaissance art technique, especially for wall paintings."
171,Renaissance Art,Easy,Least,"Oil paint became widely used during the Renaissance, allowing artists to create textures and details not possible with tempera paint."
172,Renaissance Art,Easy,Least,"Renaissance art had a heavy influence from classical Greek and Roman art and focused on humanism, nature, proportion and balance."
173,Renaissance Art,Easy,Least,Religious themes and biblical events were very common subjects in Renaissance art.
174,Renaissance Art,Easy,Least,"Portraiture flourished in the Renaissance as artists experimented with poses, lighting, and expressions to capture personality."
175,Renaissance Art,Easy,Least,"Renaissance architecture featured order, symmetry, proportions, and mathematical ratios as seen in domes, columns, and arches."
176,Renaissance Art,Easy,Least,"Contrapposto, an asymmetric relaxed pose, was an artistic innovation that lent dynamism and movement to Renaissance sculptures."
177,Renaissance Art,Easy,Least,"Sfumato, a painting technique developed by da Vinci, used subtle gradients between tones to achieve highly realistic images."
178,Machine Learning,Hard,Most,Convolutional neural networks are a type of feedforward artificial neural network that have convolutional layers to filter inputs for useful features.
179,Machine Learning,Hard,Most,The softmax function is used in the output layer of classifiers to normalize outputs into probability distributions.
180,Machine Learning,Hard,Most,"In reinforcement learning, the Bellman equation computes the expected long-term reward for taking an action in a given state."
181,Machine Learning,Hard,Most,Support vector machines find the maximum margin hyperplane between classes by solving a convex quadratic programming optimization problem.
182,Machine Learning,Hard,Most,"Generative adversarial networks consist of two neural networks, a generator and a discriminator, that compete against each other during training."
183,Machine Learning,Hard,Most,Pretraining an artificial neural network by greedily training each layer one at a time is called supervised pretraining.
184,Machine Learning,Hard,Most,"The no free lunch theorem states that averaged over all possible problems, all machine learning algorithms have identical performance."
185,Machine Learning,Hard,Most,Multi-armed bandits allow online learning systems to balance exploiting current knowledge and exploring for new information.
186,Machine Learning,Hard,Most,Bagging models like random forests reduce overfitting by training each model on a random subset of the training data.
187,Machine Learning,Hard,Most,The bias-variance tradeoff refers to balancing underfitting and overfitting in machine learning models.
188,Machine Learning,Hard,Most,"In k-means clustering, the algorithm iteratively updates cluster centroids to reduce the within-cluster sum-of-squares."
189,Machine Learning,Hard,Most,The forget gate in a long short-term memory (LSTM) network controls how much information is retained or forgotten at each timestep.
190,Machine Learning,Hard,Most,Principal component analysis is an unsupervised dimensionality reduction technique that finds a new basis that maximizes variance.
191,Machine Learning,Hard,Most,Thompson sampling balances exploration and exploitation in reinforcement learning by sampling actions from a probability distribution.
192,Machine Learning,Hard,Most,"Autoencoders are neural networks trained to reconstruct their inputs, useful for learning representations of data."
193,Machine Learning,Hard,Most,Gradient boosting improves the predictions of weak learners like decision trees by iteratively focusing on misclassified examples.
194,Machine Learning,Hard,Most,"In linear regression, L1 regularization helps prevent overfitting by penalizing the absolute size of model coefficients."
195,Machine Learning,Hard,Most,The receiver operating characteristic (ROC) curve visualizes the tradeoff between true and false positive rates for binary classifiers.
196,Machine Learning,Hard,Most,Probabilistic graphical models like Bayesian networks compactly represent multivariate probability distributions.
197,Machine Learning,Hard,Most,Active learning algorithms interactively query users to label new unlabeled examples for model training.
198,Machine Learning,Medium,Fairly,Convolutional neural networks are a type of feedforward artificial neural network that can utilize multidimensional arrays of data.
199,Machine Learning,Medium,Fairly,The k-nearest neighbors algorithm is an instance-based supervised learning technique that can be used for both classification and regression problems.
200,Machine Learning,Medium,Fairly,Support vector machines aim to find a hyperplane in a high-dimensional space that distinctly classifies the data points.
201,Machine Learning,Medium,Fairly,"Decision trees build classification or regression models as a tree structure, with branches representing conjunctions of features leading to conclusions about the target variable."
202,Machine Learning,Medium,Fairly,Naive Bayes classifiers assume strong independence between features and are based on Bayes' theorem of conditional probability.
203,Machine Learning,Medium,Fairly,"Gradient boosting produces a prediction model in the form of an ensemble of weak prediction models, typically decision trees."
204,Machine Learning,Medium,Fairly,Random forests are an ensemble learning method that operate by constructing a multitude of decision trees at training time.
205,Machine Learning,Medium,Fairly,Reinforcement learning utilizes dynamic programming techniques to have agents determine the ideal behavior within a specific context to maximize performance.
206,Machine Learning,Medium,Fairly,"Generative adversarial networks consist of two neural networks contests, a generator network generates new data instances and discriminator evaluates them for authenticity."
207,Machine Learning,Medium,Fairly,"Machine learning models can be trained using supervised, unsupervised, semi-supervised, and reinforcement learning techniques."
208,Machine Learning,Medium,Fairly,Dimensionality reduction methods like principal component analysis can be used to simplify models and reduce overfitting.
209,Machine Learning,Medium,Fairly,"Machine learning has applications in computer vision, natural language processing, speech recognition, and predictive analytics."
210,Machine Learning,Medium,Fairly,Statistical learning theory provides a framework for analyzing the generalization performance of machine learning algorithms.
211,Machine Learning,Medium,Fairly,Regularization methods like L1 and L2 regularization can reduce overfitting by penalizing model complexity.
212,Machine Learning,Medium,Fairly,"Machine learning models require large, representative datasets in order to effectively learn patterns and make predictions."
213,Machine Learning,Medium,Fairly,Neural networks are computing systems loosely inspired by the biological neural networks that constitute animal brains.
214,Machine Learning,Medium,Fairly,Clustering algorithms like k-means clustering group unlabeled data based on similarities among data instances.
215,Machine Learning,Medium,Fairly,"Machine learning has ethical implications regarding transparency, bias, privacy, and the potential for misuse that must be considered."
216,Machine Learning,Medium,Fairly,Recurrent neural networks like LSTMs can model temporal dynamic behavior and are commonly used for sequence data.
217,Machine Learning,Easy,Least,Machine learning algorithms can learn and improve from data without being explicitly programmed.
218,Machine Learning,Easy,Least,Supervised learning involves training machine learning models using unlabeled data.
219,Machine Learning,Easy,Least,Classification and regression are common supervised learning tasks.
220,Machine Learning,Easy,Least,Neural networks are a type of machine learning model inspired by the human brain.
221,Machine Learning,Easy,Least,Overfitting refers to when a model performs very well on the training data but fails to generalize to new data.
222,Machine Learning,Easy,Least,Machine learning models require large amounts of data to be effective.
223,Machine Learning,Easy,Least,Unsupervised learning involves finding patterns and structure in unlabeled data.
224,Machine Learning,Easy,Least,Clustering is a common unsupervised learning technique.
225,Machine Learning,Easy,Least,Deep learning refers to neural networks with many layers.
226,Machine Learning,Easy,Least,Reinforcement learning involves training agents to maximize rewards through trial-and-error interactions with an environment.
227,Machine Learning,Easy,Least,Training data needs to be preprocessed before being used to train machine learning models.
228,Machine Learning,Easy,Least,Convolutional neural networks are commonly used for image classification tasks.
229,Machine Learning,Easy,Least,Machine learning models require careful validation to avoid overfitting on the training data.
230,Machine Learning,Easy,Least,Logistic regression is a simple machine learning algorithm used for binary classification.
231,Machine Learning,Easy,Least,Decision trees partition the feature space into regions with mostly the same output value.
232,Machine Learning,Easy,Least,Natural language processing applies machine learning to text and speech data.
233,Machine Learning,Easy,Least,Dimensionality reduction techniques like PCA can help prevent overfitting.
234,Machine Learning,Easy,Least,Boosting involves combining multiple weak learners into a strong ensemble model.
235,Machine Learning,Easy,Least,"Machine learning engineering involves managing data, models, and infrastructure."
236,Machine Learning,Easy,Least,Causality is difficult to determine from observational data alone.
237,Classical Music,Hard,Most,The Hungarian Rhapsodies were composed by Franz Liszt.
238,Classical Music,Hard,Most,"The musical term ""andante"" indicates a moderately slow tempo."
239,Classical Music,Hard,Most,J.S. Bach's Goldberg Variations were written for harpsichord.
240,Classical Music,Hard,Most,Antonio Vivaldi wrote over 500 concertos during his lifetime.
241,Classical Music,Hard,Most,Claude Debussy's famous orchestral work La Mer depicts the motion of the ocean.
242,Classical Music,Hard,Most,Felix Mendelssohn was a German composer known for his oratorios and symphonies.
243,Classical Music,Hard,Most,The Marriage of Figaro was an opera composed by Wolfgang Amadeus Mozart.
244,Classical Music,Hard,Most,Frederic Chopin was a French composer known primarily for his nocturnes and etudes.
245,Classical Music,Hard,Most,Igor Stravinsky's The Rite of Spring caused a riot at its 1913 premiere.
246,Classical Music,Hard,Most,Giuseppe Verdi composed the famous opera Aida for the opening of the Suez Canal.
247,Classical Music,Hard,Most,Ludwig van Beethoven was completely deaf when he composed his final symphonies.
248,Classical Music,Hard,Most,The harp is a common instrument used in symphony orchestras.
249,Classical Music,Hard,Most,Operas are usually performed in the language they were originally written.
250,Classical Music,Hard,Most,Chamber music is intended for large concert halls.
251,Classical Music,Hard,Most,The tuba is the lowest brass instrument in an orchestra.
252,Classical Music,Hard,Most,Johann Sebastian Bach had over 20 children.
253,Classical Music,Hard,Most,A symphony typically has 3-4 movements.
254,Classical Music,Hard,Most,The piano was invented before the harpsichord.
255,Classical Music,Hard,Most,A concerto showcases one or more solo instruments with the orchestra.
256,Classical Music,Hard,Most,"The oboe has a very high pitched, nasal sound."
257,Classical Music,Medium,Fairly,Johann Sebastian Bach wrote over 1000 compositions during his lifetime.
258,Classical Music,Medium,Fairly,Antonio Vivaldi was an Italian Baroque composer best known for composing The Four Seasons violin concertos.
259,Classical Music,Medium,Fairly,Frederic Chopin was a Polish composer known primarily for his piano works and contributions to Romantic style of composition.
260,Classical Music,Medium,Fairly,The harpsichord was commonly used as a continuo instrument during the Baroque period.
261,Classical Music,Medium,Fairly,Richard Wagner's opera cycle The Ring of the Nibelung takes approximately 15 hours to perform in full.
262,Classical Music,Medium,Fairly,Claude Debussy was one of the most prominent composers of the Impressionist movement in music.
263,Classical Music,Medium,Fairly,The piano concerto Emperor by Ludwig van Beethoven was given its name by the composer himself.
264,Classical Music,Medium,Fairly,Bela Bartok was a 20th century Hungarian composer known for collecting and incorporating folk music into his compositions.
265,Classical Music,Medium,Fairly,The Baroque period in classical music spanned approximately from 1600 to 1750.
266,Classical Music,Medium,Fairly,Joseph Haydn composed over 100 symphonies over the course of his career.
267,Classical Music,Medium,Fairly,The harp is a standard instrument found in a symphony orchestra.
268,Classical Music,Medium,Fairly,Many of Mozart's works include parts written specifically for the clarinet.
269,Classical Music,Medium,Fairly,Brahms and Liszt were well-known rivals who criticized each other's music.
270,Classical Music,Medium,Fairly,Verdi's opera Aida takes place in ancient Egypt.
271,Classical Music,Medium,Fairly,Debussy's famous piano suite Children's Corner was written for his own children.
272,Classical Music,Medium,Fairly,The opening notes of Beethoven's Symphony No. 5 are three shorts notes followed by a long one.
273,Classical Music,Medium,Fairly,Ravel's Bolero features only a snare drum and flute as its instruments.
274,Classical Music,Medium,Fairly,Mahler's compositions often integrate voice parts and solo instruments into the symphony.
275,Classical Music,Medium,Fairly,Schoenberg was a pioneer of the 12-tone technique of composition.
276,Classical Music,Medium,Fairly,Stravinsky's Rite of Spring caused a riot at its first performance in Paris.
277,Classical Music,Easy,Least,Ludwig van Beethoven was a famous composer during the Classical period.
278,Classical Music,Easy,Least,Wolfgang Amadeus Mozart composed over 600 works.
279,Classical Music,Easy,Least,Johann Sebastian Bach composed Toccatas primarily for the piano.
280,Classical Music,Easy,Least,Antonio Vivaldi wrote The Four Seasons violin concertos.
281,Classical Music,Easy,Least,Frederic Chopin was a Polish composer known primarily for his piano works.
282,Classical Music,Easy,Least,Claude Debussy was an Impressionist composer from France.
283,Classical Music,Easy,Least,"Joseph Haydn was known as the ""Father of the Symphony."
284,Classical Music,Easy,Least,George Frideric Handel composed the oratorio Messiah.
285,Classical Music,Easy,Least,Pyotr Ilyich Tchaikovsky composed the 1812 Overture.
286,Classical Music,Easy,Least,Igor Stravinsky composed the ballet The Rite of Spring.
287,Classical Music,Easy,Least,The harpsichord was a common instrument during the Baroque period.
288,Classical Music,Easy,Least,Operas are typically sung with no orchestral accompaniment.
289,Classical Music,Easy,Least,"The tempo marking ""Adagio"" indicates a slow speed."
290,Classical Music,Easy,Least,A symphony is a single-movement orchestral piece.
291,Classical Music,Easy,Least,Many symphonies are written in 4 movements.
292,Classical Music,Easy,Least,"A minuet is a stately, formal Baroque dance in triple meter."
